                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     99,                0.56783,                 0.3696,                0.85528,                0.97354,                0.96259,                0.97918,                0.88043,                0.49589,                0.27555,                0.80298,              0.0061192,              0.0061192,              0.0061192
                    100,                0.56858,                0.37186,                0.85751,                0.97308,                0.96263,                0.97932,                0.88102,                0.49554,                0.27533,                0.80289,              0.0060796,              0.0060796,              0.0060796
                    101,                0.56121,                0.36488,                0.85335,                  0.973,                0.96251,                0.97917,                0.88159,                0.49425,                0.27527,                0.80278,                0.00604,                0.00604,                0.00604
                    102,                0.56448,                0.37028,                0.85437,                0.97285,                0.96268,                0.97854,                0.88117,                0.49379,                0.27561,                0.80232,              0.0060004,              0.0060004,              0.0060004
                    103,                0.56534,                0.36998,                 0.8573,                0.97261,                0.96216,                0.97845,                0.88058,                0.49434,                0.27656,                 0.8022,              0.0059608,              0.0059608,              0.0059608
                    104,                0.56399,                0.36782,                0.85604,                0.97404,                0.96238,                0.97843,                0.88118,                0.49351,                0.27646,                0.80201,              0.0059212,              0.0059212,              0.0059212
                    105,                0.55954,                0.36472,                0.85327,                0.97399,                0.96228,                 0.9779,                0.88062,                0.49383,                0.27558,                0.80204,              0.0058816,              0.0058816,              0.0058816
                    106,                0.56461,                0.36737,                  0.855,                0.97383,                 0.9623,                0.97854,                0.88014,                0.49305,                0.27429,                0.80172,               0.005842,               0.005842,               0.005842
                    107,                0.55628,                0.36248,                0.85369,                0.97346,                0.96164,                 0.9781,                0.88044,                0.49329,                0.27421,                0.80156,              0.0058024,              0.0058024,              0.0058024
                    108,                0.55511,                0.35946,                0.85135,                0.97343,                0.96097,                0.97782,                0.87994,                0.49375,                0.27514,                0.80149,              0.0057628,              0.0057628,              0.0057628
                    109,                0.56237,                0.36533,                0.85409,                0.97237,                0.96108,                 0.9778,                0.88075,                0.49438,                0.27443,                0.80162,              0.0057232,              0.0057232,              0.0057232
                    110,                0.55974,                 0.3636,                0.85391,                0.97213,                0.96273,                0.97842,                0.88023,                0.49456,                0.27452,                0.80182,              0.0056836,              0.0056836,              0.0056836
                    111,                 0.5559,                0.35808,                0.85147,                0.97258,                 0.9627,                0.97828,                0.88034,                0.49481,                0.27454,                 0.8018,               0.005644,               0.005644,               0.005644
                    112,                0.55767,                0.36129,                0.85303,                 0.9723,                0.96292,                0.97844,                0.88087,                0.49456,                0.27351,                0.80177,              0.0056044,              0.0056044,              0.0056044
                    113,                0.55774,                  0.362,                 0.8523,                0.97209,                0.96318,                0.97852,                0.88104,                0.49452,                0.27356,                0.80196,              0.0055648,              0.0055648,              0.0055648
